,EVIDENCE,KEYWORD,KEYWORD_PA
24,Did you eat dark-fleshed fish (such as tuna) or Swiss cheese before the reaction occurred?,ate dark-fleshed fish or Swiss cheese,ate dark-fleshed fish or Swiss cheese
25,Did you have your first menstrual period before the age of 12?,first menstrual period before age 12,first menstrual period before age 12
26,Did you lose consciousness?,lost consciousness,lost consciousness
27,"Did you previously, or do you currently, have any weakness/paralysis in one or more of your limbs or in your face?",have weakness or paralysis in one or more limbs in face,have weakness or paralysis in one or more limbs in face
28,Did you vomit after coughing?,vomit after coughing,vomit after coughing
29,Did your cheeks suddenly turn red?,cheeks suddenly turn red,cheeks suddenly turn red
30,Do any members of your immediate family have a psychiatric illness?,family members with psychiatric illness,family members with psychiatric illness
31,Do you attend or work in a daycare?,attend or work in daycare,attend or work in daycare
32,Do you constantly feel fatigued or do you have non-restful sleep?,fatigue or non-restful sleep,"fatigue, non-restful sleep"
33,Do you consume energy drinks regularly?,regular energy drink consumption,regular energy drink consumption
34,Do you currently take hormones?,intake of hormones,intake of hormones
35,Do you currently undergo dialysis?,undergoes dialysis,undergoes dialysis
36,"Do you currently, or did you ever, have numbness, loss of sensitivity or tingling anywhere on your body?","numbness, loss of sensitivity or tingling","numbness, loss of sensitivity, tingling"
37,Do you drink alcohol excessively or do you have an addiction to alcohol?,addiction to alcohol,addiction to alcohol
38,Do you ever temporarily stop breathing while you’re asleep?,temporarily stop breathing while sleeping,temporarily stop breathing while sleeping
39,"Do you exercise regularly, 4 times per week or more?",exercises 4 times per week or more,exercises 4 times per week or more
40,Do you feel anxious?,anxious,anxious
41,Do you feel lightheaded and dizzy or do you feel like you are about to faint?,lightheaded and dizzy,"lightheaded, dizzy"
42,Do you feel like you are (or were) choking or suffocating?,feels choking or suffocating,"feels choking, suffocating"
43,Do you feel like you are detached from your own body or your surroundings?,feels like detached from own body,feels like detached from own body
44,Do you feel like you are dying or were you afraid that you were about do die?,feels like dying,feels like dying
45,Do you feel out of breath with minimal physical effort?,feels out of breath with minimal physical effort,feels out of breath with minimal physical effort
46,Do you feel pain somewhere?,pain location is,pain location is
47,Do you feel slightly dizzy or lightheaded?,dizzy or lightheaded,"dizzy, lightheaded"
48,Do you feel so tired that you are unable to do your usual activities or are you stuck in your bed all day long?,unable to do usual activities,unable to do usual activities
49,Do you feel that muscle spasms or soreness in your neck are keeping you from turning your head to one side?,muscle spasms or soreness in neck,"muscle spasms, soreness in neck"
50,Do you feel that your eyes produce excessive tears?,eyes produce excessive tears,eyes produce excessive tears
51,Do you feel weakness in both arms and/or both legs?,weakness in both arms or both legs,weakness in both arms or both legs
52,Do you feel your abdomen is bloated or distended (swollen due to pressure from inside)?,bloated or distended abdomen,"bloated, distended abdomen"
53,"Do you feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations?",irregular or racing heartbeats,"irregular, racing heartbeats"
54,Do you feel your heart is beating very irregularly or in a disorganized pattern?,irregular or disorganized heartbeat,"irregular, disorganized heartbeat"
55,Do you find that your symptoms have worsened over the last 2 weeks and that progressively less effort is required to cause the symptoms?,symptoms worsened over last 2 weeks,symptoms worsened over last 2 weeks
56,Do you have Parkinson’s disease?,have Parkinson's disease,have Parkinson's disease
57,Do you have Rheumatoid Arthritis?,have Rheumatoid Arthritis,have Rheumatoid Arthritis
58,"Do you have a burning sensation that starts in your stomach then goes up into your throat, and can be associated with a bitter taste in your mouth?",burning sensation from stomach to throat,burning sensation from stomach to throat
59,Do you have a chronic obstructive pulmonary disease (COPD)?,have chronic obstructive pulmonary disease (COPD),have chronic obstructive pulmonary disease (COPD)
60,Do you have a cough that produces colored or more abundant sputum than usual?,colored or abundant sputum,"colored, abundant sputum"
61,Do you have a cough?,cough,cough
62,Do you have a decrease in appetite?,decrease in appetite,decrease in appetite
63,Do you have a deviated nasal septum?,deviated nasal septum,deviated nasal septum
64,Do you have a fever (either felt or measured with a thermometer)?,fever,fever
65,Do you have a hard time opening/raising one or both eyelids?,difficulty opening eyelids,difficulty opening eyelids
66,Do you have a hiatal hernia?,have hiatal hernia,have hiatal hernia
67,Do you have a known heart defect?,have heart defect,have heart defect
68,Do you have a known issue with one of your heart valves?,issue with one of the heart valves,issue with one of the heart valves
69,Do you have a known kidney problem resulting in an inability to retain proteins?,unable to retain proteins due to kidney problem ,unable to retain proteins due to kidney problem 
70,Do you have a known severe food allergy?,have severe food allergy,have severe food allergy
71,Do you have a poor diet?,poor diet,poor diet
72,Do you have a problem with poor circulation?,poor circulation,poor circulation
73,Do you have a sore throat?,sore throat,sore throat
74,Do you have an active cancer?,active cancer,active cancer
75,"Do you have annoying muscle spasms in your face, neck or any other part of your body?","muscle spasms in face, neck or other parts","muscle spasms in face, neck or other parts"
76,"Do you have any close family members who suffer from allergies (any type), hay fever or eczema?",family members with allergies like hay fever or eczema,family members with allergies like hay fever or eczema
77,Do you have any family members who have asthma?,family members with asthma,family members with asthma
78,Do you have any family members who have been diagnosed with anemia?,family members with anemia,family members with anemia
79,"Do you have any lesions, redness or problems on your skin that you believe are related to the condition you are consulting for?","lesions, redness or problems on skin","lesions, redness problems on skin"
80,Do you have asthma or have you ever had to use a bronchodilator in the past?,have asthma,have asthma
81,Do you have bouts of choking or shortness of breath that wake you up at night?,choking or shortness of breath at night,"choking, shortness of breath at night"
82,Do you have chest pain even at rest?,chest pain at rest,chest pain at rest
83,Do you have chronic kidney failure?,chronic kidney failure,chronic kidney failure
84,Do you have chronic pancreatitis?,chronic pancreatitis,chronic pancreatitis
85,Do you have close family members who had a cardiovascular disease problem before the age of 50?,family members with cardiovascular disease before age 50,family members with cardiovascular disease before age 50
86,Do you have cystic fibrosis?,have cystic fibrosis,have cystic fibrosis
87,Do you have diabetes?,diabetic,diabetic
88,Do you have difficulty articulating words/speaking?,difficulty articulating words or speaking,difficulty articulating words or speaking
89,"Do you have difficulty swallowing, or have a feeling of discomfort/blockage when swallowing?",difficulty swallowing,difficulty swallowing
90,Do you have diffuse (widespread) muscle pain?,diffuse (widespread) muscle pain,diffuse (widespread) muscle pain
91,Do you have family members who have had lung cancer?,family members with lung cancer,family members with lung cancer
92,Do you have greenish or yellowish nasal discharge?,greenish or yellowish nasal discharge,greenish or yellowish nasal discharge
93,Do you have heart failure?,heart failure,heart failure
94,Do you have high blood pressure or do you take medications to treat high blood pressure?,high blood pressure,high blood pressure
95,Do you have high cholesterol or do you take medications to treat high cholesterol?,have high cholesterol,have high cholesterol
96,Do you have intense coughing fits?,intense coughing fits,intense coughing fits
97,Do you have liver cirrhosis?,liver cirrhosis,liver cirrhosis
98,Do you have metastatic cancer?,metastatic cancer,metastatic cancer
99,Do you have nasal congestion or a clear runny nose?,nasal congestion or runny nose,"nasal congestion, runny nose"
100,"Do you have numbness, loss of sensation or tingling in the feet?","numbness, loss of sensitivity or tingling","numbness, loss of sensitivity, tingling"
101,Do you have pain or weakness in your jaw?,pain or weakness in jaw,pain or weakness in jaw
102,"Do you have pain somewhere, related to your reason for consulting?",feels pain,feels pain
103,Do you have pain that improves when you lean forward?,pain improves when lean forward,pain improves when lean forward
104,Do you have pain that is increased when you breathe in deeply?,pain increases with deep breath,pain increases with deep breath
105,Do you have pain that is increased with movement?,pain increases with movement,pain increases with movement
106,Do you have painful mouth ulcers or sores?,mouth ulcers or sores,"mouth ulcers, sores"
107,Do you have pale stools and dark urine?,pale stools and dark urine,"pale stools, dark urine"
108,Do you have polyps in your nose?,polyps in nose,polyps in nose
109,Do you have severe Chronic Obstructive Pulmonary Disease (COPD)?,severe Chronic Obstructive Pulmonary Disease (COPD),severe Chronic Obstructive Pulmonary Disease (COPD)
110,Do you have severe itching in one or both eyes?,severe itching in eyes,severe itching in eyes
111,Do you have swelling in one or more areas of your body?,swelling in one or more areas of body,swelling in one or more areas of body
112,Do you have swollen or painful lymph nodes?,swollen or painful lymph nodes,swollen or painful lymph nodes
113,Do you have symptoms that are increased with physical exertion but alleviated with rest?,symptoms increased with physical exertion,symptoms increased with physical exertion
114,Do you have symptoms that get worse after eating?,symptoms get worse after eating,symptoms get worse after eating
115,Do you have the perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision)?,double vision,double vision
116,Do you have trouble keeping your tongue in your mouth?,trouble keeping tongue in mouth,trouble keeping tongue in mouth
117,Do you have very abundant or very long menstruation periods?,long menstruation periods,long menstruation periods
118,Do you live in a rural area?,live in rural area,live in rural area
119,Do you live in in a big city?,live in big city,live in big city
120,Do you live in the suburbs?,live in suburbs,live in suburbs
121,Do you live with 4 or more people?,live with 4 or more people,live with 4 or more people
122,Do you regularly drink coffee or tea?,regularly drinks coffee or tea,regularly drinks coffee or tea
123,Do you regularly take stimulant drugs?,intake of stimulant drugs,intake of stimulant drugs
124,Do you smoke cigarettes?,smoke cigarettes,smoke cigarettes
125,Do you suddenly have difficulty or an inability to open your mouth or have jaw pain when opening it?,difficulty to open mouth or jaw pain,difficulty to open mouth or jaw pain
126,Do you suffer from Crohn’s disease or ulcerative colitis (UC)?,have Crohn's disease or ulcerative colitis,have Crohn's disease or ulcerative colitis
127,Do you suffer from chronic anxiety?,chronic anxiety,chronic anxiety
128,Do you suffer from fibromyalgia?,have fibromyalgia,have fibromyalgia
129,Do you take a calcium channel blockers (medication)?,intake of calcium channel blockers,intake of calcium channel blockers
130,Do you take corticosteroids?,intake of corticosteroids,intake of corticosteroids
131,Do you take medication that dilates your blood vessels?,intake of medication that dilates blood vessels,intake of medication that dilates blood vessels
132,Do you think you are pregnant or are you currently pregnant?,pregnant,pregnant
133,Do you wheeze while inhaling or is your breathing noisy after coughing spells?,wheeze while inhaling,wheeze while inhaling
134,Do you work in agriculture?,work in agriculture,work in agriculture
135,Do you work in construction?,work in construction,work in construction
136,Do you work in the mining sector?,work in mining sector,work in mining sector
137,Do your lesions peel off?,lesions peel off,lesions peel off
138,Do your symptoms of muscle weakness increase with fatigue and/or stress?,muscle weakness increase with fatigue or stress,muscle weakness increase with fatigue or stress
139,Does the pain radiate to another location?,pain radiates to,pain radiates to
140,Does the person have a whooping cough?,whooping cough,whooping cough
141,Does your mother suffer from asthma?,mother has asthma,mother has asthma
142,Have any of your family members been diagnosed with cluster headaches?,family members diagnosed with cluster headaches,family members diagnosed with cluster headaches
143,Have any of your family members ever had a pneumothorax?,family members had a pneumothorax,family members had a pneumothorax
144,Have you been able to pass stools or gas since your symptoms increased?,able to pass stools or gas since symptoms increased,able to pass stools or gas since symptoms increased
145,Have you been coughing up blood?,coughing up blood,coughing up blood
146,Have you been diagnosed with chronic sinusitis?,chronic sinusitis,chronic sinusitis
147,Have you been diagnosed with hyperthyroidism?,hyperthyroidism,hyperthyroidism
148,Have you been hospitalized for an asthma attack in the past year?,hospitalized for asthma in past year,hospitalized for asthma in past year
149,Have you been in contact with a person with similar symptoms in the past 2 weeks?,in contact with person with similar symptoms in past 2 weeks,in contact with person with similar symptoms in past 2 weeks
150,Have you been in contact with or ate something that you have an allergy to?,ate something allergic to,ate something allergic to
151,Have you been in contact with someone who has had pertussis (whoooping cough)?,in contact with whooping cough patient,in contact with whooping cough patient
152,"Have you been treated in hospital recently for nausea, agitation, intoxication or aggressive behavior and received medication via an intravenous or intramuscular route?","recent treatment for nausea, agitation via an intravenous or intramuscular route","recent treatment for nausea, agitation via an intravenous or intramuscular route"
153,Have you been unable to move or get up for more than 3 consecutive days within the last 4 weeks?,unable to getup for more than 3 consecutive days in last 4 weeks,unable to getup for more than 3 consecutive days in last 4 weeks
154,Have you been unintentionally losing weight or have you lost your appetite?,unintentional weight loss,unintentional weight loss
155,Have you breastfed one of your children for more than 9 months?,breastfed for more than 9 months,breastfed for more than 9 months
156,Have you ever been diagnosed with depression?,diagnosed with depression,diagnosed with depression
157,Have you ever been diagnosed with gastroesophageal reflux?,diagnosed with gastroesophageal reflux,diagnosed with gastroesophageal reflux
158,Have you ever been diagnosed with obstructive sleep apnea (OSA)?,diagnosed with obstructive sleep apnea (OSA),diagnosed with obstructive sleep apnea (OSA)
159,Have you ever felt like you were suffocating for a very short time associated with inability to breathe or speak?,suffocation for short time,suffocation for short time
160,Have you ever had a diagnosis of anemia?,diagnosis of anemia,diagnosis of anemia
161,Have you ever had a head trauma?,had head trauma,had head trauma
162,Have you ever had a heart attack or do you have angina (chest pain)?,had heart attack or angina,had heart attack or angina
163,Have you ever had a migraine or is a member of your family known to have migraines?,had migraine or family member has migraine,had migraine or family member has migraine
164,Have you ever had a pericarditis?,had pericarditis,had pericarditis
165,Have you ever had a sexually transmitted infection?,had sexually transmitted infection,had sexually transmitted infection
166,Have you ever had a spontaneous pneumothorax?,had a spontaneous pneumothorax,had a spontaneous pneumothorax
167,Have you ever had a stroke?,had a stroke,had a stroke
168,Have you ever had deep vein thrombosis (DVT)?,had deep vein thrombosis (DVT),had deep vein thrombosis (DVT)
169,Have you ever had fluid in your lungs?,had fluid in your lungs,had fluid in your lungs
170,Have you ever had pneumonia?,had pneumonia,had pneumonia
171,Have you ever had surgery to remove lymph nodes?,lymph node removal surgery,lymph node removal surgery
172,Have you felt confused or disorientated lately?,confused or disoriented,confused or disoriented
173,Have you gained weight recently?,gained weight recently,gained weight recently
174,Have you had 2 or more asthma attacks in the past year?,two or more asthma attacks in past year,two or more asthma attacks in past year
175,Have you had a cold in the last 2 weeks?,cold in last 2 weeks,cold in last 2 weeks
176,Have you had an involuntary weight loss over the last 3 months?,involuntary weight loss over last 3 months,involuntary weight loss over last 3 months
177,Have you had any vaginal discharge?,vaginal discharge,vaginal discharge
178,Have you had chills or shivers?,chills or shivers,"chills, shivers"
179,Have you had diarrhea or an increase in stool frequency?,diarrhea or increase in stool frequency,diarrhea or increase in stool frequency
180,Have you had one or several flare ups of chronic obstructive pulmonary disease (COPD) in the past year?,flare ups of chronic obstructive pulmonary disease (COPD) in the past year,flare ups of chronic obstructive pulmonary disease (COPD) in the past year
181,Have you had sexual intercourse with an HIV-positive partner in the past 12 months?,sexual intercourse with HIV-positive partner,sexual intercourse with HIV-positive partner
182,Have you had significantly increased sweating?,increased sweating,increased sweating
183,Have you had surgery within the last month?,surgery within last month,surgery within last month
184,Have you had unprotected sex with more than one partner in the last 6 months?,unprotected sex with more than one partner in last 6 months,unprotected sex with more than one partner in last 6 months
185,"Have you had weakness or paralysis on one side of the face, which may still be present or completely resolved?",weakness or paralysis on one side of face,weakness or paralysis on one side of face
186,Have you lost consciousness associated with violent and sustained muscle contractions or had an absence episode?,lost consciousness with sustained muscle contractions,lost consciousness with sustained muscle contractions
187,Have you lost your sense of smell?,lost sense of smell,lost sense of smell
188,Have you noticed a diffuse (widespread) redness in one or both eyes?,diffuse (widespread) redness in eye,diffuse (widespread) redness in eye
189,Have you noticed a high pitched sound when breathing in?,high pitched sound while breathing in,high pitched sound while breathing in
190,Have you noticed a wheezing sound when you exhale?,wheezing sound while exhaling,wheezing sound while exhaling
191,"Have you noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in your general well-being related to your consultation today?","new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches","new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches"
192,Have you noticed any unusual bleeding or bruising related to your consultation today?,unusual bleeding or bruising,unusual bleeding or bruising
193,Have you noticed light red blood or blood clots in your stool?,light red blood or blood clots in stool,light red blood or blood clots in stool
194,"Have you noticed that the tone of your voice has become deeper, softer or hoarse?","voice tone became deeper, softer or hoarse","voice tone became deeper, softer or hoarse"
195,Have you noticed that you produce more saliva than usual?,more saliva than usual,more saliva than usual
196,Have you noticed weakness in your facial muscles and/or eyes?,weakness in facial muscles or eyes,weakness in facial muscles or eyes
197,Have you or any member of your family ever had croup?,family member with croup,family member with croup
198,Have you recently had a loss of appetite or do you get full more quickly then usually?,loss of appetite,loss of appetite
199,Have you recently had a viral infection?,recent viral infection,recent viral infection
200,"Have you recently had numbness, loss of sensation or tingling, in both arms and legs and around your mouth?","numbness, loss of sensitivity, tingling","numbness, loss of sensitivity, tingling"
201,Have you recently had stools that were black (like coal)?,stools that were black,stools that were black
202,Have you recently taken decongestants or other substances that may have stimulant effects?,intake of decongestants having stimulant effects,intake of decongestants having stimulant effects
203,Have you recently thrown up blood or something resembling coffee beans?,thrown up blood or resembling coffee beans,thrown up blood or resembling coffee beans
204,Have you started or taken any antipsychotic medication within the last 7 days?,antipsychotic medication within the last 7 days,antipsychotic medication within the last 7 days
205,Have you traveled out of the country in the last 4 weeks?,travelled in last 4 weeks to,travelled in last 4 weeks to
206,Have you vomited several times or have you made several efforts to vomit?,vomited several times,vomited several times
207,How fast did the pain appear?,fastness in pain appearance,fastness in pain appearance
208,How intense is the pain caused by the rash?,pain intensity caused by rash is,pain intensity caused by rash is
209,How intense is the pain?,pain intensity is,pain intensity is
210,How precisely is the pain located?,preciseness in pain location is,preciseness in pain location is
211,How severe is the itching?,severity of itching,severity of itching
212,"In the last month, have you been in contact with anyone infected with the Ebola virus?",in contact with person infected with Ebola virus in last month,in contact with person infected with Ebola virus in last month
213,Is the lesion (or are the lesions) larger than 1cm?,lesion larger than 1cm,lesion larger than 1cm
214,Is the rash swollen?,swollen rash is,swollen rash is
215,"Is your BMI less than 18.5, or are you underweight?",underweight,underweight
216,Is your nose or the back of your throat itchy?,itchy nose or back of throat,itchy nose or back of throat
217,Is your skin much paler than usual?,paler skin,paler skin
218,Were you born prematurely or did you suffer any complication at birth?,premature birth or complications at birth,premature birth or complications at birth
219,Were you diagnosed with endocrine disease or a hormone dysfunction?,diagnosed with endocrine disease or a hormone dysfunction,diagnosed with endocrine disease or a hormone dysfunction
220,What color is the rash?,rash color is,rash color is
221,Where is the affected region located?,affected region is located at,affected region is located at
222,Where is the swelling located?,swelling location is,swelling location is
